"county","grade_level","sex","total_overweight","total_obese","total_overweight_or_obese","total_healthy","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
"CLINTON","ELEMENTARY","MALE",84,84,196,374,1,30,4,1,1125,582,585,0,6,158,670
"CLINTON","ELEMENTARY","MALE",84,84,196,374,15,29,52,8,1918,968,1055,7,1,368,870
"CLINTON","ELEMENTARY","MALE",84,84,196,374,21,20,18,7,1748,895,962,8,43,361,871
"CLINTON","MIDDLE/HIGH","FEMALE",71,71,170,174,1,30,4,1,1125,582,585,0,6,158,670
"CLINTON","MIDDLE/HIGH","FEMALE",71,71,170,174,15,29,52,8,1918,968,1055,7,1,368,870
"CLINTON","MIDDLE/HIGH","FEMALE",71,71,170,174,21,20,18,7,1748,895,962,8,43,361,871
"CLINTON","MIDDLE/HIGH","MALE",45,45,139,206,1,30,4,1,1125,582,585,0,6,158,670
"CLINTON","MIDDLE/HIGH","MALE",45,45,139,206,15,29,52,8,1918,968,1055,7,1,368,870
"CLINTON","MIDDLE/HIGH","MALE",45,45,139,206,21,20,18,7,1748,895,962,8,43,361,871
"COLUMBIA","ELEMENTARY","FEMALE",60,60,128,206,5,25,136,2,1004,612,633,33,73,147,438
"COLUMBIA","ELEMENTARY","FEMALE",60,60,128,206,224,329,271,2,663,831,832,139,174,266,1167
"COLUMBIA","ELEMENTARY","MALE",50,50,127,230,5,25,136,2,1004,612,633,33,73,147,438
"COLUMBIA","ELEMENTARY","MALE",50,50,127,230,224,329,271,2,663,831,832,139,174,266,1167
"COLUMBIA","MIDDLE/HIGH","FEMALE",36,36,70,129,5,25,136,2,1004,612,633,33,73,147,438
"COLUMBIA","MIDDLE/HIGH","FEMALE",36,36,70,129,224,329,271,2,663,831,832,139,174,266,1167
"COLUMBIA","MIDDLE/HIGH","MALE",27,27,62,92,5,25,136,2,1004,612,633,33,73,147,438
"COLUMBIA","MIDDLE/HIGH","MALE",27,27,62,92,224,329,271,2,663,831,832,139,174,266,1167
"DUTCHESS","ELEMENTARY","FEMALE",142,142,259,653,282,587,1474,4,5269,3995,3968,196,347,1222,2255
"DUTCHESS","ELEMENTARY","FEMALE",142,142,259,653,176,167,200,1,841,697,751,23,63,183,340
